strategy,condition,label,category,n,baseline_recall,masked_recall,recall_drop,ci_low,ci_high,true_probability_drop
full,N10,1,Cytoplasm,508,0.7007874015748031,0.7283464566929134,-0.027559055118110236,-0.051181102362204724,-0.001968503937007874,-0.02522805344499182
full,N10,2,Extracellular,393,0.9236641221374046,0.8498727735368957,0.0737913486005089,0.043256997455470736,0.10432569974554708,0.07451723580480393
full,N10,3,Mitochondrion,302,0.8344370860927153,0.6754966887417219,0.15894039735099338,0.11589403973509933,0.2052980132450331,0.1534140537678159
full,N10,4,Cell membrane,273,0.7655677655677655,0.7545787545787546,0.01098901098901099,-0.01098901098901099,0.03663003663003663,0.005653399150200123
full,N10,5,Endoplasmic reticulum,173,0.6589595375722543,0.6127167630057804,0.046242774566473986,0.0,0.09826589595375723,0.02860386719219524
full,N10,6,Chloroplast,152,0.9473684210526315,0.75,0.19736842105263158,0.13815789473684212,0.2631578947368421,0.2136719234513694
full,N10,7,Golgi apparatus,70,0.35714285714285715,0.34285714285714286,0.014285714285714285,-0.04285714285714286,0.07178571428571395,0.0389473207918985
full,N10,8,Lysosome/Vacuole,64,0.328125,0.296875,0.03125,-0.046875,0.125,0.034333381451529324
full,N10,9,Peroxisome,30,0.36666666666666664,0.4,-0.03333333333333333,-0.1,0.0,-0.024836726479216024
full,C10,0,Nucleus,808,0.8712871287128713,0.8626237623762376,0.008663366336633664,-0.0037128712871287127,0.02103960396039604,0.009582841742620777
full,C10,1,Cytoplasm,508,0.7007874015748031,0.7224409448818898,-0.021653543307086614,-0.04330708661417323,0.001968503937007874,-0.027653299759968948
full,C10,2,Extracellular,393,0.9236641221374046,0.926208651399491,-0.002544529262086514,-0.015267175572519083,0.010178117048346057,0.00020745995170130154
full,C10,3,Mitochondrion,302,0.8344370860927153,0.8344370860927153,0.0,-0.013245033112582781,0.013245033112582781,0.010858597745810937
full,C10,4,Cell membrane,273,0.7655677655677655,0.717948717948718,0.047619047619047616,0.018315018315018316,0.07692307692307693,0.04267325540470939
full,C10,5,Endoplasmic reticulum,173,0.6589595375722543,0.6011560693641619,0.057803468208092484,0.011560693641618497,0.10404624277456648,0.030941185965738787
full,C10,6,Chloroplast,152,0.9473684210526315,0.881578947368421,0.06578947368421052,0.03289473684210526,0.10526315789473684,0.07761293841278681
full,C10,7,Golgi apparatus,70,0.35714285714285715,0.35714285714285715,0.0,-0.04285714285714286,0.04285714285714286,0.011555007422194398
full,C10,8,Lysosome/Vacuole,64,0.328125,0.296875,0.03125,-0.046875,0.109375,0.041880747949978536
full,C10,9,Peroxisome,30,0.36666666666666664,0.1,0.26666666666666666,0.1,0.43333333333333335,0.25187125253546955
full,internal10,0,Nucleus,808,0.8712871287128713,0.8725247524752475,-0.0012376237623762376,-0.012376237623762377,0.011138613861386138,-0.00028239835776640065
full,internal10,1,Cytoplasm,508,0.7007874015748031,0.6929133858267716,0.007874015748031496,-0.015748031496062992,0.031496062992125984,0.004612406194602708
full,internal10,2,Extracellular,393,0.9236641221374046,0.9083969465648855,0.015267175572519083,0.0,0.03307888040712468,0.016284553729010342
full,internal10,3,Mitochondrion,302,0.8344370860927153,0.8311258278145696,0.0033112582781456954,-0.016556291390728478,0.023178807947019868,0.004714563649419979
full,internal10,4,Cell membrane,273,0.7655677655677655,0.7619047619047619,0.003663003663003663,-0.018315018315018316,0.02197802197802198,-0.0016524877396869196
full,internal10,5,Endoplasmic reticulum,173,0.6589595375722543,0.6242774566473989,0.03468208092485549,-0.005924855491329472,0.07514450867052024,0.016145406230607784
full,internal10,6,Chloroplast,152,0.9473684210526315,0.9276315789473685,0.019736842105263157,-0.006578947368421052,0.05263157894736842,0.031692872617003355
full,internal10,7,Golgi apparatus,70,0.35714285714285715,0.4142857142857143,-0.05714285714285714,-0.11428571428571428,-0.014285714285714285,-0.01938322656408882
full,internal10,8,Lysosome/Vacuole,64,0.328125,0.34375,-0.015625,-0.046875,0.0,-0.0017600868989486734
full,internal10,9,Peroxisome,30,0.36666666666666664,0.36666666666666664,0.0,0.0,0.0,-0.006770895284227354
